statement,dataset,split,correct,eval_order,p_dot,score_xfmt,score_capint
"85 - 15 = 82",arithmetic,arith_train,0,,0.2244362290,,
"78 - 52 = 28",arithmetic,arith_test,0,115,0.2402581051,0.0001486697,
"34 x 27 = 914",arithmetic,arith_test,0,50,0.7185182779,0.9190178221,
"41 - 14 = 44",arithmetic,arith_test,0,43,0.2461807141,0.0002530567,
"30 x 99 = 2958",arithmetic,arith_test,0,46,0.6759194783,0.0003615273,
"70 - 69 = 11",arithmetic,arith_test,0,42,0.2272125462,0.0010844670,
"60 + 28 = 88",arithmetic,arith_train,1,,0.7193611015,,
"80 x 38 = 3022",arithmetic,arith_train,0,,0.6703112309,,
"64 + 77 = 141",arithmetic,arith_train,1,,0.8593534956,,
"58 - 51 = 3",arithmetic,arith_train,0,,0.2926190314,,
"69 - 60 = 11",arithmetic,arith_train,0,,0.4148299117,,
"38 + 61 = 86",arithmetic,arith_train,0,,0.5370707645,,
"25 + 54 = 61",arithmetic,arith_train,0,,0.6005039918,,
"62 + 80 = 142",arithmetic,arith_train,1,,0.7752359505,,
"3 - 5 = -4",arithmetic,arith_train,0,,0.2309963772,,
"28 + 0 = 28",arithmetic,arith_train,1,,0.7449579623,,
"25 x 22 = 555",arithmetic,arith_train,0,,0.6003848104,,
"55 - 20 = 35",arithmetic,arith_train,1,,0.5691768338,,
"43 + 13 = 56",arithmetic,arith_train,1,,0.6607055122,,
"47 + 70 = 134",arithmetic,arith_train,0,,0.5334251601,,
"19 - 29 = -10",arithmetic,arith_train,1,,0.4786889179,,
"10 - 82 = -72",arithmetic,arith_train,1,,0.6967617859,,
"7 x 30 = 210",arithmetic,arith_train,1,,0.7596210230,,
"84 + 80 = 183",arithmetic,arith_train,0,,0.7130909925,,
"5 + 96 = 101",arithmetic,arith_train,1,,0.8167598092,,
"3 x 39 = 117",arithmetic,arith_train,1,,0.6178621455,,
"88 - 76 = 2",arithmetic,arith_test,0,47,0.4911854389,0.2066871833,
"57 + 33 = 90",arithmetic,arith_train,1,,0.7762607430,,
"19 - 34 = -15",arithmetic,arith_train,1,,0.5271620836,,
"13 + 48 = 61",arithmetic,arith_train,1,,0.7535234491,,
"14 x 87 = 1218",arithmetic,arith_train,1,,0.6982325539,,
"95 - 70 = 37",arithmetic,arith_train,0,,0.1667626444,,
"55 x 46 = 2530",arithmetic,arith_test,1,48,0.7248476092,0.9688825597,
"39 + 63 = 105",arithmetic,arith_train,0,,0.7342194620,,
"69 x 11 = 759",arithmetic,arith_test,1,90,0.7428516375,0.9905149817,
"96 x 54 = 5186",arithmetic,arith_train,0,,0.7261241504,,
"28 - 57 = -30",arithmetic,arith_test,0,14,0.3052364307,0.0000000154,
"25 - 49 = -28",arithmetic,arith_train,0,,0.2378839077,,
"93 x 6 = 558",arithmetic,arith_train,1,,0.6920321940,,
"85 - 86 = -1",arithmetic,arith_test,1,19,0.4881259731,0.9985645970,
"14 + 17 = 29",arithmetic,arith_train,0,,0.6811064556,,
"36 - 26 = 10",arithmetic,arith_train,1,,0.4578120278,,
"76 - 39 = 41",arithmetic,arith_train,0,,0.3048151638,,
"93 x 58 = 5394",arithmetic,arith_train,1,,0.7171480507,,
"73 + 60 = 133",arithmetic,arith_test,1,116,0.6621312040,0.9920779485,
"47 - 47 = 3",arithmetic,arith_train,0,,0.2336980755,,
"25 + 18 = 43",arithmetic,arith_train,1,,0.7810328596,,
"16 x 92 = 1472",arithmetic,arith_train,1,,0.6257721192,,
"49 + 71 = 129",arithmetic,arith_train,0,,0.6507076963,,
"11 + 55 = 78",arithmetic,arith_train,0,,0.5070335277,,
"97 x 62 = 6016",arithmetic,arith_train,0,,0.6667997641,,
"74 + 18 = 107",arithmetic,arith_train,0,,0.4953644442,,
"59 - 89 = -30",arithmetic,arith_train,1,,0.5669243791,,
"6 - 74 = -68",arithmetic,arith_train,1,,0.6220073875,,
"66 - 83 = -17",arithmetic,arith_train,1,,0.5377871431,,
"85 + 39 = 116",arithmetic,arith_test,0,58,0.4989988917,0.7396584624,
"95 - 74 = 21",arithmetic,arith_train,1,,0.6370544493,,
"16 x 100 = 1612",arithmetic,arith_train,0,,0.4550664504,,
"82 x 9 = 738",arithmetic,arith_test,1,97,0.7374151389,0.9711431927,
"29 x 33 = 976",arithmetic,arith_train,0,,0.4874591036,,
"77 x 26 = 2002",arithmetic,arith_train,1,,0.6580644031,,
"99 - 71 = 28",arithmetic,arith_train,1,,0.6822043440,,
"36 + 10 = 37",arithmetic,arith_test,0,88,0.4112299922,0.0003275853,
"95 - 63 = 40",arithmetic,arith_train,0,,0.3532572594,,
"31 - 9 = 22",arithmetic,arith_train,1,,0.5366646501,,
"39 x 76 = 2983",arithmetic,arith_train,0,,0.7748201657,,
"98 x 74 = 7252",arithmetic,arith_train,1,,0.7796480686,,
"26 - 53 = -27",arithmetic,arith_train,1,,0.5832831559,,
"47 x 39 = 1844",arithmetic,arith_test,0,20,0.6184391344,0.0001752510,
"72 + 76 = 146",arithmetic,arith_train,0,,0.6190411469,,
"56 - 15 = 51",arithmetic,arith_train,0,,0.5340372327,,
"86 - 100 = -16",arithmetic,arith_train,0,,0.1301662487,,
"31 + 28 = 59",arithmetic,arith_train,1,,0.6956983568,,
"75 x 88 = 6600",arithmetic,arith_train,1,,0.8021387132,,
"28 x 17 = 476",arithmetic,arith_train,1,,0.7696970251,,
"12 x 71 = 839",arithmetic,arith_train,0,,0.6814177048,,
"34 - 21 = 29",arithmetic,arith_train,0,,0.2676337410,,
"80 + 56 = 129",arithmetic,arith_train,0,,0.5184725656,,
"30 - 39 = -16",arithmetic,arith_train,0,,0.0846401406,,
"52 x 42 = 2184",arithmetic,arith_train,1,,0.7034891236,,
"19 - 9 = 1",arithmetic,arith_train,0,,0.5026833198,,
"85 + 94 = 179",arithmetic,arith_train,1,,0.8025513729,,
"42 + 11 = 53",arithmetic,arith_train,1,,0.7542373844,,
"48 - 76 = -28",arithmetic,arith_train,1,,0.5898040050,,
"35 x 58 = 2030",arithmetic,arith_test,1,49,0.7709451139,0.9819416436,
"64 + 67 = 131",arithmetic,arith_test,1,107,0.7904759718,0.7944472018,
"31 + 18 = 47",arithmetic,arith_train,0,,0.6606505066,,
"27 x 7 = 189",arithmetic,arith_train,1,,0.7700570547,,
"73 + 9 = 93",arithmetic,arith_train,0,,0.4535426098,,
"81 - 53 = 24",arithmetic,arith_train,0,,0.2758669020,,
"41 + 85 = 120",arithmetic,arith_train,0,,0.5672988505,,
"29 - 12 = 17",arithmetic,arith_train,1,,0.5006988636,,
"17 x 97 = 1633",arithmetic,arith_train,0,,0.6713980753,,
"8 + 86 = 94",arithmetic,arith_train,1,,0.5958377840,,
"48 + 43 = 107",arithmetic,arith_train,0,,0.6292102544,,
"58 x 32 = 1857",arithmetic,arith_test,0,80,0.5470335744,0.0000002525,
"16 x 55 = 882",arithmetic,arith_train,0,,0.5493771696,,
"96 x 34 = 3264",arithmetic,arith_train,1,,0.7528758692,,
"62 x 8 = 496",arithmetic,arith_train,1,,0.7729048540,,
"69 - 90 = -21",arithmetic,arith_test,1,5,0.5552436396,0.9692475818,
"17 - 8 = -5",arithmetic,arith_train,0,,0.5113580303,,
"47 x 8 = 376",arithmetic,arith_train,1,,0.5725703199,,
"45 + 64 = 99",arithmetic,arith_train,0,,0.6435343095,,
"36 - 20 = 16",arithmetic,arith_train,1,,0.5927796363,,
"77 x 77 = 5929",arithmetic,arith_test,1,30,0.8292866114,0.9614031217,
"78 x 5 = 373",arithmetic,arith_train,0,,0.4118343540,,
"70 + 12 = 82",arithmetic,arith_train,1,,0.7453129180,,
"0 - 49 = -49",arithmetic,arith_train,1,,0.2701625963,,
"2 x 97 = 194",arithmetic,arith_train,1,,0.6244890172,,
"54 - 88 = -19",arithmetic,arith_train,0,,0.3321421049,,
"85 - 82 = 3",arithmetic,arith_train,1,,0.4473765549,,
"49 - 78 = -21",arithmetic,arith_test,0,102,0.3241915461,0.0000107802,
"17 x 59 = 1003",arithmetic,arith_train,1,,0.7781260964,,
"72 x 97 = 6999",arithmetic,arith_train,0,,0.7350420817,,
"24 - 36 = -10",arithmetic,arith_test,0,11,0.1696872972,0.0000000098,
"40 x 27 = 1080",arithmetic,arith_train,1,,0.7457059333,,
"12 + 56 = 85",arithmetic,arith_train,0,,0.5995992503,,
"23 x 63 = 1433",arithmetic,arith_train,0,,0.6620037027,,
"43 x 26 = 1118",arithmetic,arith_train,1,,0.7546660176,,
"79 x 46 = 3634",arithmetic,arith_train,1,,0.7380397241,,
"81 x 33 = 2673",arithmetic,arith_train,1,,0.7286050648,,
"62 + 32 = 94",arithmetic,arith_train,1,,0.6309414894,,
"91 x 37 = 3358",arithmetic,arith_train,0,,0.6788355617,,
"63 + 14 = 85",arithmetic,arith_train,0,,0.6351770021,,
"45 x 28 = 1267",arithmetic,arith_train,0,,0.5810823888,,
"31 x 74 = 2294",arithmetic,arith_train,1,,0.7379326267,,
"78 - 68 = 10",arithmetic,arith_train,1,,0.4365291916,,
"91 + 25 = 116",arithmetic,arith_train,1,,0.7172503667,,
"100 - 64 = 35",arithmetic,arith_train,0,,0.4202529307,,
"47 x 59 = 2778",arithmetic,arith_train,0,,0.7734502552,,
"75 - 54 = 40",arithmetic,arith_test,0,84,0.2804552573,0.0000122106,
"23 x 88 = 2030",arithmetic,arith_test,0,79,0.6347073331,0.0045783187,
"77 x 23 = 1761",arithmetic,arith_train,0,,0.7664267486,,
"59 x 55 = 3245",arithmetic,arith_train,1,,0.8270255502,,
"62 + 71 = 149",arithmetic,arith_train,0,,0.6388320029,,
"54 - 70 = -16",arithmetic,arith_train,1,,0.5249182407,,
"62 + 57 = 116",arithmetic,arith_train,0,,0.6337449623,,
"100 - 5 = 95",arithmetic,arith_train,1,,0.7253000087,,
"3 - 49 = -46",arithmetic,arith_train,1,,0.7110194338,,
"52 - 41 = 11",arithmetic,arith_train,1,,0.5630420978,,
"39 + 23 = 73",arithmetic,arith_train,0,,0.5827624137,,
"79 + 19 = 98",arithmetic,arith_train,1,,0.6900771845,,
"99 + 52 = 162",arithmetic,arith_test,0,99,0.5117008979,0.0000005372,
"80 + 77 = 151",arithmetic,arith_train,0,,0.6785831809,,
"82 + 18 = 96",arithmetic,arith_train,0,,0.5695095322,,
"98 - 35 = 63",arithmetic,arith_train,1,,0.7348640625,,
"67 - 46 = 32",arithmetic,arith_train,0,,0.1997979484,,
"37 x 2 = 61",arithmetic,arith_train,0,,0.3885076349,,
"92 x 84 = 7723",arithmetic,arith_train,0,,0.6509867415,,
"19 + 34 = 50",arithmetic,arith_train,0,,0.4875223995,,
"86 + 39 = 125",arithmetic,arith_test,1,73,0.7346832501,0.9875392990,
"6 - 6 = 16",arithmetic,arith_train,0,,0.2779039431,,
"1 x 85 = 85",arithmetic,arith_train,1,,0.5506763374,,
"47 + 97 = 144",arithmetic,arith_train,1,,0.7256876150,,
"64 + 19 = 68",arithmetic,arith_train,0,,0.5216182775,,
"12 x 91 = 1103",arithmetic,arith_train,0,,0.6864975381,,
"33 + 6 = 53",arithmetic,arith_train,0,,0.3907017116,,
"94 x 21 = 1974",arithmetic,arith_train,1,,0.7111808122,,
"65 + 75 = 155",arithmetic,arith_train,0,,0.5931991751,,
"90 x 54 = 4860",arithmetic,arith_train,1,,0.8472353665,,
"70 - 91 = -8",arithmetic,arith_train,0,,0.2261140512,,
"38 + 10 = 52",arithmetic,arith_test,0,52,0.5610188118,0.0097939657,
"96 + 79 = 172",arithmetic,arith_train,0,,0.6552733218,,
"15 + 48 = 63",arithmetic,arith_test,1,16,0.7707606340,0.9966177025,
"64 x 39 = 2496",arithmetic,arith_test,1,111,0.6762450470,0.9807348974,
"90 - 28 = 79",arithmetic,arith_train,0,,0.4066466469,,
"93 + 31 = 124",arithmetic,arith_test,1,55,0.7525708243,0.9990472159,
"53 x 68 = 3604",arithmetic,arith_train,1,,0.8454941401,,
"35 + 5 = 40",arithmetic,arith_test,1,114,0.5640590856,0.9980145869,
"86 x 96 = 8261",arithmetic,arith_test,0,76,0.7847151025,0.0020671673,
"42 + 34 = 64",arithmetic,arith_train,0,,0.3875778147,,
"29 + 28 = 57",arithmetic,arith_train,1,,0.7979033680,,
"83 x 89 = 7374",arithmetic,arith_train,0,,0.6617384222,,
"67 x 32 = 2144",arithmetic,arith_train,1,,0.7569958591,,
"81 x 35 = 2835",arithmetic,arith_train,1,,0.7671979629,,
"16 x 60 = 960",arithmetic,arith_train,1,,0.7421910617,,
"83 - 86 = 7",arithmetic,arith_test,0,21,0.1503095384,0.0005352523,
"46 - 20 = 26",arithmetic,arith_train,1,,0.4301224593,,
"5 x 6 = 40",arithmetic,arith_train,0,,0.5783513141,,
"56 + 9 = 76",arithmetic,arith_train,0,,0.4252918235,,
"93 x 100 = 9300",arithmetic,arith_train,1,,0.8691773828,,
"97 + 96 = 209",arithmetic,arith_train,0,,0.5279104844,,
"78 x 48 = 3736",arithmetic,arith_train,0,,0.7463950282,,
"77 + 33 = 110",arithmetic,arith_train,1,,0.7450609783,,
"36 - 49 = -2",arithmetic,arith_train,0,,0.2310177141,,
"40 - 91 = -39",arithmetic,arith_train,0,,0.3364895680,,
"82 x 98 = 8045",arithmetic,arith_train,0,,0.7895606351,,
"5 - 52 = -39",arithmetic,arith_train,0,,0.4882775928,,
"81 - 51 = 47",arithmetic,arith_train,0,,0.3293879393,,
"65 + 73 = 133",arithmetic,arith_train,0,,0.6421184377,,
"6 - 30 = -44",arithmetic,arith_test,0,82,0.4586561894,0.0002425852,
"70 - 4 = 63",arithmetic,arith_train,0,,0.3875245529,,
"51 + 88 = 149",arithmetic,arith_train,0,,0.6830828224,,
"8 - 81 = -63",arithmetic,arith_train,0,,0.4624616615,,
"30 + 20 = 50",arithmetic,arith_train,1,,0.7080999888,,
"33 + 84 = 111",arithmetic,arith_train,0,,0.5853592409,,
"34 x 64 = 2160",arithmetic,arith_train,0,,0.6953069477,,
"17 + 33 = 50",arithmetic,arith_train,1,,0.6907807998,,
"2 + 45 = 35",arithmetic,arith_train,0,,0.3827848912,,
"42 + 98 = 140",arithmetic,arith_train,1,,0.6947875639,,
"39 - 95 = -64",arithmetic,arith_test,0,119,0.3801084171,0.0000002378,
"61 + 80 = 136",arithmetic,arith_train,0,,0.5727898405,,
"67 x 66 = 4416",arithmetic,arith_train,0,,0.7223344798,,
"62 - 11 = 39",arithmetic,arith_train,0,,0.4365153528,,
"78 x 83 = 6474",arithmetic,arith_test,1,103,0.7675316507,0.9059291848,
"27 x 72 = 1944",arithmetic,arith_train,1,,0.6987596453,,
"74 - 51 = 23",arithmetic,arith_train,1,,0.4014226844,,
"63 x 50 = 3150",arithmetic,arith_train,1,,0.8338417989,,
"10 + 47 = 56",arithmetic,arith_test,0,53,0.5087290896,0.0005428375,
"82 + 45 = 114",arithmetic,arith_test,0,72,0.5890900082,0.0030123864,
"The capital of Syria is Kabul",capital,capitals,0,0,0.6517039257,0.0000000000,0.0022474105
"The capital of Egypt is Gaborone",capital,capitals,0,1,0.6035117013,0.0000000000,0.0000118228
"The capital of Mongolia is Cairo",capital,capitals,0,2,0.6684102472,0.0000000003,0.0000804784
"The capital of Belarus is Lima",capital,capitals,0,3,0.7080920578,0.0000000000,0.0000600321
"The capital of Lithuania is Maputo",capital,capitals,0,4,0.6416652031,0.0000000000,0.0000507215
"The capital of Paraguay is Asuncion",capital,capitals,1,5,0.7833413336,0.9909329479,0.9998623712
"The capital of Croatia is Nouakchott",capital,capitals,0,6,0.6365928832,0.0000000000,0.0004116444
"The capital of Zambia is Lusaka",capital,capitals,1,7,0.8032322416,0.9985697986,0.9986776678
"The capital of Benin is Yaounde",capital,capitals,0,8,0.6478187719,0.0000000000,0.2515911913
"The capital of Thailand is Bangkok",capital,capitals,1,9,0.6824547632,0.9968219733,0.9992468659
"The capital of Estonia is Jerusalem",capital,capitals,0,10,0.6991609314,0.0000000000,0.0000064078
"The capital of Sweden is Stockholm",capital,capitals,1,11,0.7338735205,0.9960421333,0.9993124535
"The capital of Serbia is Amsterdam",capital,capitals,0,12,0.5674248699,0.0000000000,0.0000323836
"The capital of Honduras is Tegucigalpa",capital,capitals,1,13,0.8052675942,0.9968437788,0.9933053921
"The capital of Iraq is Ljubljana",capital,capitals,0,14,0.7617259781,0.0000754302,0.0100887423
"The capital of Peru is Panama City",capital,capitals,0,15,0.6285108962,0.0000000000,0.0022238471
"The capital of Turkey is Kigali",capital,capitals,0,16,0.6441039711,0.0000000000,0.0003066153
"The capital of Senegal is Canberra",capital,capitals,0,17,0.7296805040,0.0000000000,0.0000345229
"The capital of Mongolia is Ulaanbaatar",capital,capitals,1,18,0.7069694428,0.9995910298,0.9997915636
"The capital of Cambodia is Phnom Penh",capital,capitals,1,19,0.7963644944,0.9988221273,0.9968901651
"The capital of Afghanistan is Kabul",capital,capitals,1,20,0.7853515649,0.9958338327,0.9999011178
"The capital of Armenia is Stockholm",capital,capitals,0,21,0.6387710211,0.0000000000,0.0001403457
"The capital of Laos is Panama City",capital,capitals,0,22,0.6282013385,0.0000000000,0.0002505352
"The capital of Ghana is San Jose",capital,capitals,0,23,0.4887408982,0.0000000000,0.0000173408
"The capital of Ecuador is Maputo",capital,capitals,0,24,0.7231887556,0.0000000000,0.0002038636
"The capital of Bangladesh is Mogadishu",capital,capitals,0,25,0.7001733319,0.0000000001,0.0458890534
"The capital of Eswatini is Mbabane",capital,capitals,1,26,0.5219137436,0.0000000000,0.9561232452
"The capital of Slovenia is Singapore",capital,capitals,0,27,0.5375652171,0.0000000000,0.0000001822
"The capital of Guinea is Harare",capital,capitals,0,28,0.6982093862,0.0000001557,0.0009271445
"The capital of China is Beijing",capital,capitals,1,29,0.7643057734,0.9997336209,0.9996879530
"The capital of Costa Rica is Oslo",capital,capitals,0,30,0.7090833082,0.0000000000,0.0005964378
"The capital of Moldova is Chisinau",capital,capitals,1,31,0.7931849890,0.9988577379,0.9970212263
"The capital of Guatemala is Tallinn",capital,capitals,0,32,0.8102404801,0.0000696070,0.0000874762
"The capital of Bulgaria is Kuala Lumpur",capital,capitals,0,33,0.6502902238,0.0000000000,0.0002346602
"The capital of Tunisia is Tunis",capital,capitals,1,34,0.7616431551,0.9998374113,0.9997657204
"The capital of Malaysia is Kuala Lumpur",capital,capitals,1,35,0.7077055178,0.9987869725,0.9999399015
"The capital of Cyprus is Bishkek",capital,capitals,0,36,0.6548665751,0.0000000000,0.0000218254
"The capital of Haiti is Port-au-Prince",capital,capitals,1,37,0.8166305398,0.9860169304,0.9985808329
"The capital of Ukraine is Porto-Novo",capital,capitals,0,38,0.4995937838,0.0000000000,0.0000154659
"The capital of Slovakia is Colombo",capital,capitals,0,39,0.6997614707,0.0000000000,0.0002017803
"The capital of South Africa is Pretoria",capital,capitals,1,40,0.4921820156,0.0204938165,0.9959299957
"The capital of China is Havana",capital,capitals,0,41,0.7043347544,0.0000000000,0.0078715560
"The capital of Kazakhstan is Astana",capital,capitals,1,42,0.6337925448,0.0001920500,0.9714672887
"The capital of Hungary is Budapest",capital,capitals,1,43,0.7531816757,0.9999984224,0.9992946738
"The capital of Kuwait is Kuwait City",capital,capitals,1,44,0.6470151244,0.9999997615,0.9999089597
"The capital of South Korea is Stockholm",capital,capitals,0,45,0.7267897007,0.0000000000,0.0475632269
"The capital of Israel is Tallinn",capital,capitals,0,46,0.7724673219,0.0674923201,0.0023050382
"The capital of Montenegro is Podgorica",capital,capitals,1,47,0.7407350420,0.9971276876,0.9973533878
"The capital of Canada is Tallinn",capital,capitals,0,48,0.7251633169,0.0044874402,0.0048773950
"The capital of Bhutan is Thimphu",capital,capitals,1,49,0.7861317957,0.9997786974,0.9984627105
"The capital of Ireland is Dublin",capital,capitals,1,50,0.7831496298,0.9889372201,0.9982370202
"The capital of Mali is Caracas",capital,capitals,0,51,0.6045293036,0.0000000000,0.0000130097
"The capital of Libya is Tripoli",capital,capitals,1,52,0.8020447015,0.9943907249,0.9885770940
"The capital of Thailand is Georgetown",capital,capitals,0,53,0.6105350938,0.0000000000,0.0076601328
"The capital of Belgium is Brussels",capital,capitals,1,54,0.7462527493,0.9328613993,0.9999477001
"The capital of Montenegro is Tehran",capital,capitals,0,55,0.8272972102,0.0000000179,0.0007439576
"The capital of Nepal is Moscow",capital,capitals,0,56,0.7951975223,0.0000000323,0.0133806040
"The capital of Bolivia is Skopje",capital,capitals,0,57,0.7571587572,0.0000000012,0.0002395965
"The capital of Botswana is Gaborone",capital,capitals,1,58,0.8049494483,0.9931113204,0.9997147004
"The capital of Gabon is La Paz",capital,capitals,0,59,0.6722402060,0.0000000000,0.0014632848
"The capital of Latvia is Hanoi",capital,capitals,0,60,0.6214502438,0.0000000000,0.0001148224
"The capital of Cameroon is Seoul",capital,capitals,0,61,0.7366722275,0.0000000047,0.0082336023
"The capital of Portugal is Lisbon",capital,capitals,1,62,0.8153437242,0.9991073110,0.9994962305
"The capital of Turkmenistan is Ashgabat",capital,capitals,1,63,0.7928560756,0.9998212522,0.9932452713
"The capital of Poland is Warsaw",capital,capitals,1,64,0.7397452170,0.9959398444,0.9996670025
"The capital of Japan is Sarajevo",capital,capitals,0,65,0.6681850182,0.0000001238,0.0052815413
"The capital of Luxembourg is Luxembourg City",capital,capitals,1,66,0.5424356952,0.9999991030,0.9994748269
"The capital of Chad is Guatemala City",capital,capitals,0,67,0.5707411338,0.0000000000,0.0000550588
"The capital of Lithuania is Vilnius",capital,capitals,1,68,0.7678318560,0.9995379010,0.9994015460
"The capital of Qatar is Buenos Aires",capital,capitals,0,69,0.7522932750,0.0000000630,0.0147905560
"The capital of Panama is Abuja",capital,capitals,0,70,0.6752667479,0.0000000004,0.0003127760
"The capital of Iceland is Reykjavik",capital,capitals,1,71,0.8029129269,0.9705521885,0.9995645299
"The capital of Yemen is Kingston",capital,capitals,0,72,0.6396381669,0.0000000000,0.0026375219
"The capital of Ghana is Accra",capital,capitals,1,73,0.7383491729,0.9948755061,0.9994138585
"The capital of Georgia is Windhoek",capital,capitals,0,74,0.5884478453,0.0000000039,0.0016576367
"The capital of India is New Delhi",capital,capitals,1,75,0.7640512497,0.6685933984,0.9982616282
"The capital of Oman is Muscat",capital,capitals,1,76,0.7316469701,0.9998707255,0.9997273393
"The capital of Argentina is Montevideo",capital,capitals,0,77,0.8069713874,0.0048787725,0.3776498104
"The capital of Kuwait is Caracas",capital,capitals,0,78,0.6755033997,0.0000000000,0.0001853500
"The capital of Iran is Tehran",capital,capitals,1,79,0.8360615470,0.9997626858,0.9999080204
"The capital of South Africa is Copenhagen",capital,capitals,0,80,0.6995248080,0.0000000000,0.0112124162
"The capital of Lesotho is Maseru",capital,capitals,1,81,0.8064947338,0.9992365675,0.9938979423
"The capital of Australia is Canberra",capital,capitals,1,82,0.7344446635,0.9597260260,0.9997935278
"The capital of Liberia is Bratislava",capital,capitals,0,83,0.7514282797,0.0000000011,0.0003089831
"The capital of Honduras is Lisbon",capital,capitals,0,84,0.6771144153,0.0000000000,0.0058685016
"The capital of Syria is Damascus",capital,capitals,1,85,0.7846310257,0.9998702795,0.9964822202
"The capital of Oman is Amsterdam",capital,capitals,0,86,0.5941520273,0.0000000000,0.0002432111
"The capital of Malta is Valletta",capital,capitals,1,87,0.7427669915,0.9933868267,0.9950470380
"The capital of Namibia is Windhoek",capital,capitals,1,88,0.8145027361,0.9998598058,0.9996282332
"The capital of Malaysia is Riyadh",capital,capitals,0,89,0.7377660983,0.0000000000,0.0280812926
"The capital of Liberia is Monrovia",capital,capitals,1,90,0.7260573803,0.9994394221,0.9976504429
"The capital of Mali is Bamako",capital,capitals,1,91,0.7545900482,0.9658803722,0.9933175855
"The capital of Zambia is Apia",capital,capitals,0,92,0.6725932983,0.0000000940,0.0013805796
"The capital of Algeria is Kathmandu",capital,capitals,0,93,0.7158698406,0.0000000150,0.0404997510
"The capital of Netherlands is Amsterdam",capital,capitals,1,94,0.6699496949,0.0002493393,0.9980207488
"The capital of Papua New Guinea is Berlin",capital,capitals,0,95,0.7367067252,0.0000000001,0.0004709852
"The capital of Cuba is Havana",capital,capitals,1,96,0.7484332257,0.9615631456,0.9970611153
"The capital of Egypt is Cairo",capital,capitals,1,97,0.7215050530,0.9999763575,0.9962510705
"The capital of Canada is Ottawa",capital,capitals,1,98,0.7409721487,0.9999913613,0.9990585808
"The capital of Fiji is Seoul",capital,capitals,0,99,0.7589864256,0.0000000052,0.0054609144
"The capital of El Salvador is San Salvador",capital,capitals,1,100,0.7413475172,0.9981335629,0.9986253087
"The capital of Hungary is Gitega",capital,capitals,0,101,0.4673846546,0.0000000000,0.0000023116
"The capital of Argentina is Buenos Aires",capital,capitals,1,102,0.7709728034,0.9918612494,0.9979797899
"The capital of Sri Lanka is Colombo",capital,capitals,1,103,0.6497865181,0.0000000040,0.8672573115
"The capital of Djibouti is Djibouti",capital,capitals,1,104,0.3585478911,0.1269387803,0.7880652224
"The capital of Slovakia is Bratislava",capital,capitals,1,105,0.7125742408,0.9997831093,0.9991625864
"The capital of Namibia is Doha",capital,capitals,0,106,0.6556829381,0.0000000000,0.0039214488
"The capital of Italy is Canberra",capital,capitals,0,107,0.5321618348,0.0000000000,0.0045325872
"The capital of Benin is Porto-Novo",capital,capitals,1,108,0.2525525922,0.0000000000,0.9526107831
"The capital of Uzbekistan is Vienna",capital,capitals,0,109,0.6972893853,0.0000000061,0.0059308103
"The capital of Belgium is Lima",capital,capitals,0,110,0.7045182856,0.0000000008,0.0022316064
"The capital of Albania is Tirana",capital,capitals,1,111,0.7854332272,0.4057841818,0.9997885673
"The capital of Algeria is Algiers",capital,capitals,1,112,0.7488272176,0.9995209254,0.9996166260
"The capital of Portugal is Gaborone",capital,capitals,0,113,0.5772570008,0.0000000000,0.0000053558
"The capital of Madagascar is Antananarivo",capital,capitals,1,114,0.8642839184,0.9887147027,0.9988663026
"The capital of Bulgaria is Sofia",capital,capitals,1,115,0.7960481809,0.9757993449,0.9732147221
"The capital of United States is Baku",capital,capitals,0,116,0.7323695249,0.0000000236,0.0002046316
"The capital of Jamaica is Yaounde",capital,capitals,0,117,0.6578914125,0.0000000012,0.0124142880
"The capital of Libya is Dodoma",capital,capitals,0,118,0.6170336520,0.0000000000,0.0022888401
"The capital of Cuba is Mbabane",capital,capitals,0,119,0.6420498921,0.0000000000,0.0000265590
"The capital of Samoa is Baku",capital,capitals,0,120,0.6456737962,0.0000000000,0.0000396346
"The capital of Pakistan is Islamabad",capital,capitals,1,121,0.7956651765,0.9560052586,0.9988054171
"The capital of Guinea is Conakry",capital,capitals,1,122,0.8069913652,0.9890479270,0.9977172228
"The capital of Haiti is Brussels",capital,capitals,0,123,0.6497230692,0.0000000000,0.0000344480
"The capital of United Arab Emirates is Washington",capital,capitals,0,124,0.5287786790,0.0007736032,0.0150590420
"The capital of Ivory Coast is Cairo",capital,capitals,0,125,0.6649115267,0.0000000002,0.0004395478
"The capital of Dominican Republic is Chisinau",capital,capitals,0,126,0.7275151058,0.0000000587,0.0000817948
"The capital of Serbia is Belgrade",capital,capitals,1,127,0.7512815752,0.9996170656,0.9998947231
"The capital of Kyrgyzstan is Bishkek",capital,capitals,1,128,0.8308821341,0.9997849596,0.9930893528
"The capital of El Salvador is Reykjavik",capital,capitals,0,129,0.7320225599,0.0000000042,0.0008140222
"The capital of Mauritania is Nouakchott",capital,capitals,1,130,0.8368818019,0.9974572143,0.9906179341
"The capital of Togo is Lome",capital,capitals,1,131,0.7268980682,0.9977403604,0.9990271475
"The capital of Myanmar is Canberra",capital,capitals,0,132,0.7026127502,0.0000000019,0.0035063722
"The capital of Angola is Pretoria",capital,capitals,0,133,0.6568895845,0.0000000000,0.0539322354
"The capital of Uruguay is Conakry",capital,capitals,0,134,0.5816357785,0.0000000000,0.0029436112
